root_id	root_form	root_meaning_en	tla_root_form	tla_root_id	tla_root_meaning_en	tla_root_meaning_de
805	sn		zni̯	865940		[abtrennen]
806	šnꜥ		šnꜥ	875318		[fernhalten]
807	šnj		šnꜥ	875318		[fernhalten]
808	šnꜥ		šnꜥ	875318		[fernhalten]
809	šnꜥ		šmꜥ	875267		[schmal sein]
810	šnj		šn	875297		[vermeiden (?); frei machen (?)]
811	spt		zpi̯	874697		[übrig bleiben]
812	sp		sp	864155		[Lippe; Sprache; Ufer; Rand]
813	špj		šzp	875189		[empfangen]
814	snḏ		snḏ	875873		[fürchten]
815	šnḏ		šnḏ	875345		[Schurz]
816	šnḏ		šnḏ	874286		[Akazie]
817	špsj		špsi̯	875171		[ehrwürdig sein]
818	šnf		šnf	874259		[Schuppe]
819	sqr		sqr	871676		[schlagen]
820	srj		zr	866234		[Widder]
821	sr		sr	876584		[ankündigen]
822	šrr		šrr	866015		[klein sein]
823	šrr		šrr	866015		[klein sein]
824	šrr		šrr	866015		[klein sein]
825	šrr		šrr	866015		[klein sein]
826	šrf					
827	srḥ		šlḥ	875366		[Zweig]
828	sꜣp		sꜣp	876089		[Lotos]
829	sjs		sjs	876179		[sechs]
830	zz		zz	874814		[verbrennen]
831	šsm		šsm	875531		[entzündet sein]
832	zššn					
833	šzp		šzp	875189		[empfangen]
834	šzp		šzp	875189		[empfangen]
835	šzp		šzp	875189		[empfangen]
836	šzp		šzp	875189		[empfangen]
837	wꜣš		wꜣš	867176		[angesehen sein]
838	šsꜣ		šsꜣ	875516		[kundig sein]
839	sṯꜣ		sṯꜣ	874607		[ziehen]
840	jṯj		sti̯	870710		[aussenden]
841	št					
842	štb		štb	875615		[einschließen]
843	tf		tf	872462		[speien]
844	stp		stp	876932		[auswählen]
845	sṯꜣ		sṯꜣ	874607		[ziehen]
846	sw		sw	876221		[Zeit]
847	sw		sw	876224		[Pflanze]
848	sw		sw	876224		[Pflanze]
849	šwj		šwi̯	873920		[leer sein]
850	šwjʾ		šwi̯	873920		[leer sein]
851	šwjʾ		šwi̯	873920		[leer sein]
852	šwb		šwb	875126		[Perseabaum]
853	šwb		šwb	875126		[Perseabaum]
854	swḥ		swḥ	876266		[verhüllen]
855	šwqr					
856	wrr		zwr	870554		[trinken]
857	zꜣw		zꜣu̯	873941		[schützen]
858	sꜣ		sꜣ	876032		[Rücken]
859	ꜣwj		sꜣi̯	873992		[satt sein]
860	šꜣ		šꜣ	874973		[bestimmen]
861	šꜣ		šꜣ	874967		[Sumpf]
862	šꜣ		šꜣ	874973		[bestimmen]
863	šꜣj		šꜣj	866189		[Schwein]
864	šꜣ		šꜣ	874973		[bestimmen]
865	šꜣ		šꜣ	874967		[Sumpf]
866	šbd		šbd	875177		[Stock]
867	sꜣḥ		sꜣḥ	876104		[herankommen]
868	šꜣm		šꜣm	875021		[heiß sein]
869	sꜣq		sꜣq	876116		[zusammenfügen]
870	sꜣr		sꜣr	876059		[(durch)sieben]
871	šꜣr		šꜣr	874361		[zusammenbinden]
872	šꜣšꜣꜥ					
873	zꜣṯ		zꜣṯ	864164		[ausgießen; libieren]
874	štb		štb	875615		[einschließen]
875	šꜣ		šꜣ	874967		[Sumpf]
876	šꜥ					
877	šꜥy		šꜥy	875084		[Sand]
878	šꜥḏ		šꜥḏ	875099		[schneiden]
879	sꜥr		sꜥr	876203		[Wolle]
880	t					
881	tbt		tbt	878306		[Fisch]
882	ṯb					
883	dbs		dbs	878318		[stechen]
884	tbs		tbs	878315		[Ferse]
885	tfj		tf	872462		[speien]
886	ṯftn		ṯftn	877397		[überstürzen]
887	tḫj		tḫi̯	878414		[trinken]
888	tḫ		tḫ	878429		[mischen]
889	tḫ		tḫ	878417		[fett]
890	tḫj		tḫi̯	878414		[trinken]
891	tḫj		tḫi̯	878414		[trinken]
892	tḫ		tḫ	878429		[mischen]
893	ṯḥw		ṯḥu̯	877517		[sich freuen]
894	tḫb		tḫb	878420		[eintauchen; bewässern]
895	thm		thm	871805		[durchstoßen; mobilisieren]
896	tḥs					
897	ṯh		ṯh	877514		[lahm]
898	ṯkj		ṯki̯	870605		[färben]
899	tkn		tkn	873821		[nahe sein]
900	tkn		tkn	873821		[nahe sein]
901	tks		tks	878459		[durchbohren]
902	tkꜣ		tkꜣ	878297		[verbrennen]
903	tm		tmm	878351		[verschließen]
904	ṯms		ṯms	877418		[vergraben]
905	tmꜣ		tmꜣ	877727		[Matte]
906	ṯmꜣ					
907	ṯnw		ṯnw	877442		[zählen]
908	ṯnj		ṯnj	877436		[wo]
909	ṯnw		ṯni̯	866243		[erheben]
910	ṯnj		ṯni̯	866243		[erheben]
911	ṯnj		ṯnj	877439		[schwach werden]
912	ṯnj		ṯni̯	866243		[erheben]
913	ṯnf		ṯnf	877457		[messen]
914	ṯnf		ṯnf	877457		[messen]
915	tnm					
916	ṯnm		ṯnm	877460		[Kessel]
917	tr					
918	tp		tp	866672		[Kopf]
919	tp					
920	tpḥ					
921	ṯpn		ṯpn	878339		[sich freuen]
922	tr					
923	tr		tr	866102		[Zeit]
924	tr					
925	ṯr		ṯr	877493		[Weide]
