entry_id	tla_id
44	53510
44	53530
44	850447
45	53920
46	53800
46	53810
46	53820
46	53830
46	53840
46	53850
46	53860
46	53870
46	53890
46	53930
46	53940
47	53700
47	53720
47	53750
47	53760
48	53600
48	53610
48	53650
48	850451
49	54840
49	54870
50	59600
51	54990
51	55000
51	55040
52	177840
52	177870
53	177590
54	177830
55	851711
55	96700
55	550028
55	400126
55	400124
56	179420
56	179430
56	179440
56	179460
56	179520
56	179530
56	179580
56	179590
56	550065
57	178360
58	178970
58	179020
59	184150
59	184170
59	184210
60	183120
61	149780
61	149790
61	178750
61	178760
61	178800
61	178810
61	178830
61	178840
62	184280
62	150730
63	184370
63	184390
63	184400
64	172560
65	183170
65	183350
66	183190
66	183270
66	183290
66	183310
66	183320
66	183330
66	450152
67	600464
68	d7768
69	179030
70	180970
70	550234
71	183460
71	183510
71	183520
71	183530
71	183540
71	183580
71	450303
71	852567
71	183430
71	183440
72	d7831
73	180130
73	180140
74	150940
74	150950
74	185810
75	185160
75	600474
75	650046
75	184860
75	184870
75	850133
75	184530
75	184540
75	184550
75	184560
75	184570
75	184610
75	184730
75	184900
75	184910
75	184920
75	184990
75	185000
75	185010
75	185030
75	185060
76	186250
77	181250
77	181260
78	173720
78	173710
79	181080
79	181100
79	181110
80	181080
80	877868
80	181070
81	180690
81	550232
81	180700
81	180770
81	180780
81	180880
81	180800
81	180820
81	180830
81	71380
82	184960
83	181340
84	182830
84	182890
84	182920
85	180440
85	180450
86	149730
87	177910
87	177920
87	178000
87	178100
87	178120
87	400078
87	600406
88	182440
88	182320
88	182330
89	181510
89	181770
89	181780
89	181860
89	400687
89	400952
89	856599
90	182300
90	871040
90	182290
91	182120
91	182130
92	182150
93	182160
93	182170
94	853903
95	182250
95	182260
96	182540
97	182500
97	182510
98	182480
98	182490
99	182610
99	182620
99	182650
99	182660
99	182670
99	182680
100	182760
100	182770
101	10050
101	10060
101	63710
102	852311
102	d2201
103	64290
104	64220
105	64240
105	64260
106	63970
106	d4480
106	d4485
106	dm7844
106	dm7970
106	dm5261
