MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
2109	nḥty				inf.	croire; avoir confiance; être véridique; être sincÈre	152	very_likely	same	ⲛⲁϩⲧⲉ	ⲛⲁϩϯ																	
2110	rḫt				inf.	battre; casser; pousser; jeter; tomber; '= laver	180	very_likely	same	ⲣⲱϩⲧ	ⲣⲱϧⲧ																	
2111	sḫt				inf.	arrêter; refouler; empêcher	203	very_likely	same	ⲥⲱϣⲧ	ϣⲱϣⲧ																	
2112	sḫt; sšt	*saḫtīy				clé	276	very_likely	same	ϣⲟϣⲧ	ϣⲟϣⲧ																	
2113	sḫt; sšt	*saḫtīy				clé	276	very_likely	same	ϣⲟⲩϣⲧ	ϣⲱϣⲧ																	
2114	nḫt.t			f		force; protection	148	very_likely	same	ⲛⲁϣⲧⲉ	ⲛⲁϣϯ																	
2116	nḫt-ỉ	°naḫt-īỉ; *naḫtīỉ				dur; opiniâtre	149	very_likely	same										ⲛⲉϣⲧⲉ									
2117	nḫt.t	*naḫta.t; *niḫta.t		f		grand	149	very_likely	same		ⲛⲓϣϯ																	
2118	nḫt	°naḫt; *nāḫat			inf.	rendre dur; rendre fort	148	very_likely	same	ⲛⲟⲩϣⲧ		ⲛⲟⲩⳉⲧ																
2119	nḫt	°naḫāt; *naḫàt			inf.	devenir dur; devenir lourd	148	very_likely	same	ⲛⳉⲁⲧ	ⲛⳉⲁⲧ	ⲛϣⲟⲧ																
2121	shy	*sīhi.t			inf.	détourner; éloigner	204	very_likely	same	ⲥⲓϩⲉ	ⲥⲓϩⲓ																	
2122	sksk	*saksūkaw			part.	place ensoleillé	187	very_likely	same		ⲥⲉⲕⲥⲓⲕ																	
2123	sk	*sȫkeꜣ				poulain; ânon	207	very_likely	same	ⲥⲏϭ	ⲥⲏϫ	ⲥⲓⲉⲓϫ, ⲥⲓϫ		ⲥⲏⲕ														
2124	sk.t	*sökꜣet; *sökket; *söꜣke(t)		f		poulain; ânon	207	very_likely	same			ⲥⲉⲉϫⲉ																
2125	sk	°siki.t; *sīki.t			inf.	moudre	186	very_likely	same	ⲥⲓⲕⲉ	ⲥⲓⲕⲓ																	
2126	sky				inf.	tirer; passer	186	very_likely	same	ⲥⲱⲕ	ⲥⲱⲕ																	
2128	srkrk				inf.	polir; affiner; lisser	188	very_likely	same	ⲥⲗⲟϭⲗϭ	ⲥⲗⲁϫⲗⲉϫ																	
2129	skꜣ				inf.	labourer	187	very_likely	same	ⲥⲕⲁⲓ	ⲥⲭⲁⲓ																	
2130	nqꜥ-w	*niqꜥ-a.t; *niꜥq-a.t; *niꜣqat		f		douleurs de l'enfantement; douleurs	142	very_likely	same	ⲛⲁⲁⲕⲉ	ⲛⲁⲕϩⲓ	ⲛⲉⲉⲕⲉ, ⲛⲉⲕⲉ, ⲛⲉⲕϩⲉ	ⲛⲉⲕⲉ		ⲛⲉⲕⲓ						ⲛⲉⲕⲉ							ⲛⲁⲁⲕⲓ
2131	sm					herbe	188	very_likely	same	ⲥⲓⲙ	ⲥⲓⲙ																	
2132	sm		coll			herbe	188	very_likely	same		ⲥⲙⲉ																	
