MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
1310					
1311					
1312					
1313					
1314					
1315					
1316					
1317				f	
1318				f	
1319					
1320					
1321					rr-rrx
1322					
1323					
1324			du		
1325					
1326					
1327			pl		
1328				f	
1329			NN	NN	
1330					
1331					
1332				f	
1333					
1334					
1335					
1336					
1337					
1338					
1339			pl		
1340					
1341					
1342					
1343				f	
1344					
1345					
1346					
1347					
1348					
1349					
1350					
1351					
1352					
1353					
1354				f	
1355				f	
1356					
1357					
1358			pl		
1359					
1360				f	
1361			pl	f	
1362					
1363				f	
1364					
1365					
1366					
1367				f	
1368				f	
1369			pl	f	
1370					
1371				f	
1372				f	
1373					
1374					
1375					s-
1376					
1377				f	
1378			pl		
1379					
1380				f	
1381					
1382					
1383					
1384				f	
1385			pl	f	
1386				f	
1387					rr-rr
1388					s-
1389					
1390					
1391					
1392					
1393					
1394					
1395					
1396				f	
1397					
1398					
1399					
1400					
1401			pl		
1402					
1403					
1404				f	
1405			pl		
1406			pl		
1407					
1408					
1409					
1410			pl		
1411					
1412					
1413				f	
1414				f	
1415				f	
1416				f	
1417				f	
1418			pl	f	
1419					
1420					
1421					xrr
1422					
1423					
1424					
1425				f	
1426					
1427					
1428					
1429			pl		
1430					
1431					
1432			pl		
1433					
1434					
1435					
1436			pl		
1437					
1438					
1439				f	
1440			pl	f	
1441					
1442					
1443					
1444			pl		
1445					
1446			pl		
1447					
1448					
1449					
1450					
1451			pl		
1452				f	
1453					
1454					
1455					
1456				f	
1457					s-
1458					
1459					
1460					
1461					
1462				f	
1463					
1464					
1465					
1466					m-
1467				f	
1468					
1469			NN	NN	
1470					
1471					
1472					
1473					
1474					
1475					
1476					
1477				f	
1478					
1479					
1480					
1481					
1482				f	
1483					xxrr
1484					
1485					
1486				f	rr-rr
1487				f	
1488					
1489					
1490					xrr
1491					
1492					s-
1493				f	
1494					
1495					
1496			coll	f	
1497				f	
1498				f	
1499					
1500			pl		
1501					
1502			f	f	
1503					
1504					
1505				f	
1506					
1507					xrr-rr
1508					xrr-rr
1509			du		
1510					
1511			du	f	
1512					s-
1513					
1514			pl		
1515					rr-rr
1516					
1517					
1518					
1519					
1520					
1521				f	
1522					
1523			du	f	
1524			du	m/f	
1525				f	
1526				f	
1527					
1528					
1529					
1530				f	
1531				f	
1532				f	
1533					
1534				f	
1535					
1536					
1537					
1538				f	
1539					rr-rr
1540					rr-rr
1541				f	
1542					
1543				f	
1544					xrr
1545				f	
1546					
1547			pl		
1548					xrr
1549				f	xrr
1550					
1551					
1552					
1553					
1554				f	
1555			coll.	f	
1556					
1557					
1558					
1559					
